logFC;AveExpr;t;P.Value;adj.P.Val;B
HNF1B;1.86803079117568;2.81109160633217;2.91454426969351;0.00507035643861963;0.460163655648132;-2.2479261778362
CEACAM7;2.03049080332726;-0.94135651940444;2.87050515280797;0.00572879812213218;0.494627526512526;-2.25164487768473
SYCP3;2.29979422159272;-2.28371700952937;2.88579492443918;0.00549171420120379;0.483730805077739;-2.25578750278269
MIR29B2;-2.25452064128079;-3.20672629349562;-2.88875014175742;0.00544695154576176;0.483356428002514;-2.27195612182125
LOC440028;-1.17180272077484;0.664945321215777;-2.85045078600374;0.00605412732872223;0.501049615656374;-2.28333985924785
EGR2;-2.07397784158359;-0.764264447910468;-2.87269875664051;0.0056942116512247;0.494313275570718;-2.2855724662016
NME8;2.67691209086802;-2.7964313886939;2.88448011149673;0.00551173896726654;0.483730805077739;-2.28936251218174
LOC441242;1.9930963116654;-0.492826657152376;2.8573421497837;0.00594045451703087;0.499404631581758;-2.30134661295857
DRAM1;0.702039301523837;5.82178999310429;2.98211210321819;0.00419533070407696;0.416365136172803;-2.31543391600374
NFKBIZ;0.912312518967085;6.03459995923235;2.99554024832789;0.00403910304536757;0.412843059413588;-2.3251413296257
MAF;-0.818096468586356;2.12683140563484;-2.97979736366804;0.00422282301759181;0.416365136172803;-2.34016293278056
LHX1;-2.19699413885756;-0.0945374004314827;-2.86594921386985;0.00580125344789546;0.495526317236546;-2.34119251821144
STON1;-1.50375057521377;-0.292436173833282;-2.83123868705629;0.00638173102224048;0.51743852598095;-2.34718627374191
ATG16L2;0.63960468388447;2.74985348907544;2.85289909579537;0.00601351423153332;0.501049615656374;-2.35728637072227
NFAM1;2.25650453419553;-2.51445086496791;2.83485034221806;0.00631892244240223;0.516767881971913;-2.3627246586199
CYP27B1;1.22842957158837;2.47462149927358;2.86266478985784;0.00585401213569054;0.497373062996729;-2.38253451503015
KIF1A;1.83242418787979;-0.121517857898075;2.84447723632144;0.00615428412852677;0.506713300953392;-2.38619988714567
TUBB3;0.672674105876577;7.49757193563778;2.98128967341925;0.00420507961926298;0.416365136172803;-2.40663978071816
LOC283710;-2.23888597201692;-1.96597922837379;-2.82758805697957;0.00644580278246063;0.517856851145059;-2.41520514469709
CTRL;1.79855697131782;0.479504341909839;2.79859662629686;0.00697610295752916;0.54339792238375;-2.41633172715222
ACTN1;0.493462088396035;9.04579921615476;2.99235122830074;0.00407570677190733;0.412843059413588;-2.43069486182197
SGK2;-1.87820769624443;1.26520544325499;-2.79691443393943;0.00700807437620062;0.54339792238375;-2.45064671202203
CXCL1;1.42902793557478;6.99205300870061;2.95137812670076;0.00457430786688164;0.444124946456154;-2.4557005338304
C15orf48;1.24288170907321;5.56896858976924;2.93404914921431;0.00480178012083281;0.444124946456154;-2.4621580333806
EMILIN2;1.71489815684141;1.59754727203733;2.77123580747036;0.00751317658390595;0.560784904554812;-2.46802502527345
ANO2;-2.29842345246564;-2.96360626950958;-2.77296388004228;0.00747816096643032;0.560784904554812;-2.4711058609939
TFCP2L1;-0.623812939856818;4.47546551133319;-2.93803685609469;0.00474852297830542;0.444124946456154;-2.48161112725527
ACVR1C;-2.31138119346687;-1.70826695368256;-2.76346699319944;0.00767246589133228;0.564341972206799;-2.48175345224067
LRMP;-0.86093182281607;-1.9676690818022;-2.82134847962024;0.00655668934873207;0.521676266342241;-2.50427711332919
INHBA-AS1;2.30252602167536;-2.75326366983908;2.76288279789661;0.00768456873304434;0.564341972206799;-2.5064113089018
